Division,Name,Launch Date,Phase,Mass (kg),Mass (lb),Ha,Hp,Have,Mean Motion,
Heliophysics,ACE ,"19970827 August 27, 1997",Operating,,,,,,,
,"Advanced Composition Explorer (ACE) observes particles of solar, interplanetary, interstellar, and galactic origins, spanning the energy range from solar wind ions to galactic cosmic ray nuclei. This mission is part of SMD's Explorers Program. This mission is part of SMD's ...",,,Tracy note: Earth-Sun L1,,,,,,
Earth,ACRIMSAT ,"19991220 December 20, 1999",Operating,,,713,672,,,
,"ACRIMSAT is the latest in a series of long-term solar-monitoring missions, utilizing the proven Active Cavity Radiometer Irradiance Monitor III (ACRIM III) instrument. This mission is part of SMD's Earth Systematic Missions program.",,,Tracy note: Weight = 253 lbs.,,,,,,
Earth,ADEOS ,"19960817 August 17, 1996",Past,3500,,803,803,,,ADEOS I/II 3680 kg
,Advanced Earth Observing Satellite (ADEOS) was the first international space platform dedicated to Earth environmental research developed and managed by the National Space Development Agency of Japan (NASDA) (The Japanese call her MIDORI).,,,,,,,,,
Heliophysics,AIM ,"20070425 April 25, 2007",Operating,200,,,,,,Sun-sync 96.5 min
,Aeronomy of Ice in the Mesosphere (AIM) is a mission to determine the causes of the highest altitude clouds in the Earth's atmosphere. The number of clouds in the middle atmosphere (mesosphere) over the Earth's poles has been increasing over ...,,,Tracy note: Weight = 430 lbs (55 x 43 inches),,,,,,
Earth,AirMOSS ,20120301 March 2012,Development,,,,,,,
,"North American ecosystems are critical components of the global carbon cycle, exchanging large amounts of carbon dioxide and other gases with the atmosphere. Root-zone soil measurements can be used to better understand these carbon fluxes and their associated uncertainties on ...",,,,,,,,,
Earth,Aqua ,"20020504 May 04, 2002",Operating,,,,,,,
,"Aqua will obtain a set of precise atmosphere and oceans measurements to understand their role in Earth's climate and its variations. Aqua carries six state-of-the-art instruments to observe the Earth's oceans, atmosphere, land, ice and snow covers, and vegetation, providing ...",,,Tracy note: Weight = 6468 lbs,,,,,,
Earth,Aquarius ,"20110610 June 10, 2011",Development,,,,,,,
,"Aquarius is a focused satellite mission to measure global sea surface salinity (SSS). Its instruments will measure changes in SSS equivalent to about a ""pinch"" (i.e., 1/6 of a teaspoon) of salt in 1 gallon of water. By measuring SSS ...",,,,,,,,,
Astrophysics,ASCA ,"19930220 February 20, 1993",Past,,,,,,,
,"ASCA was the first X-ray astronomy mission to combine imaging capability with a broad pass band, good spectral resolution, and a large effective area. The mission was also the first satellite to use CCDs for X-ray astronomy.",,,,,,,,,
Astrophysics,Astro-H ,"20140215 February 15, 2014",Development,,,,,,,
,Astro-H is a powerful orbiting observatory being developed by the Japan Aerospace Exploration Agency (JAXA) for studying extremely energetic processes in the universe. NASA and the JAXA/Institute of Space and Astronautical Science have teamed up to develop a high resolution ...,,,,,,,,,
Astrophysics,Astro Observatory (ASTRO 1 & 2) ,"19901202 December 02, 1990",Past,,,,,,,
,"The ""Astro Observatory"" was developed as a system of telescopes that could fly multiple times on the space shuttle.",,,,,,,,,
Earth,ATLAS ,"19920324 March 24, 1992",Past,,,,,,,
,"ATLAS missions were part of Phase I of NASA's Mission to Planet Earth, a large-scale, unified study of planet Earth as a single, dynamic system. Throughout the ATLAS series, scientists gathered new information to gain a better understanding of how ...",,,,,,,,,
Earth,ATS ,"19661207 December 07, 1966",Past,,,,,,,
,"The Applications Technology Satellite series was a set of 6 NASA spacecraft created to explore & flight test new technologies and techniques for communications, meteorological and navigation satellites.",,,,,,,,,
Earth,ATTREX ,20110801 August 2011,Development,,,,,,,
,Stratospheric water vapor has large impacts on the earth’s climate and energy budget. Future changes in stratospheric humidity and ozone concentration in response to changing climate are significant climate feedbacks.,,,,,,,,,
Earth,Aura ,"20040715 July 15, 2004",Operating,,,,,,,
,The Aura satellite hosts a suite of scientific instruments designed to make the most comprehensive measurements ever undertaken of atmospheric trace gases. Aura's objective is to study the chemistry and dynamics of the Earth's atmosphere with emphasis on the upper ...,,,Tracy note: Weight = 3291 lbs. Body is 6.9 m with 15 m for the SA.,,,,,,
Heliophysics,BARREL ,,Development,,,,,,,
,The Balloon Array for Radiation-belt Relativistic Electron Losses mission is a balloon-based Mission of Opportunity to augment the measurements of NASA's RBSP spacecraft. This mission is part of SMD's LWS program.,,,,,,,,,
Astrophysics,BBXRT ,"19901202 December 02, 1990",Past,,,,,,,
,"The Broad Band X-ray Telescope (BBXRT) was the first focusing X-ray telescope to operate over a broad energy range (0.3-12 keV) with moderate energy resolution. BBXRT was flown on the space shuttle Columbia (STS-35) on December 2-11, 1990, as part ...",,,,,,,,,
Earth,CALIPSO ,"20060428 April 28, 2006",Operating,,,,,,,
,The CALIPSO satellite was developed to help scientists answer significant questions and provide new information about the effects of clouds and aerosols (airborne particles) on changes in the Earth's climate. Understanding these components will provide the international science community with ...,,,Tracy note: Weight = 1397 lbs,,,,,,
Earth,CARVE ,20120301 March 2012,Development,,,,,,,
,The carbon budget of Arctic ecosystems is not known with confidence since fundamental elements of the complex Arctic biological-climatologic-hydrologic system are poorly quantified. CARVE will collect detailed measurements of important greenhouse gases on local to regional scales in the Alaskan ...,,,,,,,,,
Planetary,Cassini ,"19971015 October 15, 1997",Operating,,,,,,,
,"The Cassini Mission is in the midst of a detailed study of Saturn, its rings, its magnetosphere, its icy satellites, and its moon Titan. Cassini also delivered a probe (called Huygens, provided by the European Space Agency) to Titan, and ...",,,Tracy note: Interplanetary,,,,,,
Astrophysics,CGRO ,"19910405 April 05, 1991",Past,,,,,,,
,"Compton Gamma Ray Observatory mission studied very energetic celestial phenomena: solar flares, cosmic gamma-ray bursts, pulsars, nova and supernova explosions, accreting black holes of stellar dimensions, quasar emission, and interactions of cosmic rays with the interstellar medium. Compton left a ...",,,,,,,,,
Earth,CHAMP ,"20000715 July 15, 2000",Past,,,,,,,
,CHAMP will generate for the first time simultaneously highly precise gravity and magnetic field measurements over a 5 years period. This will allow us to detect besides the spatial variations of both fields also their variability with time. The CHAMP ...,,,,,,,,,
Astrophysics,Chandra ,"19990723 July 23, 1999",Operating,,,,,,,
,"Chandra explores the hot turbulent regions in space with images 25 times sharper than previous x-ray pictures. Chandra is performing detailed studies of black holes, supernovas, and dark matter, to increase our understanding of the origin, evolution, and destiny of ...",,,Tracy note: orbit is 140000 km x 10000 km,,,,,,
Planetary,Chandrayaan-1 (M3) ,"20081022 October 22, 2008",Past,,,,,,,
,"The Moon Mineralogy Mapper (M3) is one of two instruments that NASA is contributing to India's first mission to the Moon, Chandrayaan-1, which is scheduled to be launched in 2008. This mission is part of SMD's Discovery Program. This mission ...",,,,,,,,,
Astrophysics,CHIPS ,"20030112 January 12, 2003",Past,,,,,,,
,"CHIPS uses an extreme ultraviolet spectrograph to study the ""Local Bubble,"" a tenuous cloud of hot gas surrounding our Solar System that extends about 300 light-years from the Sun.",,,,,,,,,
Heliophysics,CINDI/CNOFS ,"20080416 April 16, 2008",Operating,,,,,,,
,"The Coupled Ion-Neutral Dynamics Investigations (CINDI) is a mission to understand the dynamics of the Earth's ionosphere. CINDI will provide two instruments for the Communication/Navigation Outage Forecast System (C/NOFS) satellite, a project of the United States Air Force. This mission ...",,,Tracy note: orbit is 700 km x 400 km 13 deg incl. Could not be located on SpaceTrack,,,,,,
Earth,CLARREO ,,Under Study,,,,,,,
,The Climate Absolute Radiance and Refractivity Observatory (CLARREO) Mission has been recommended in the NRC Decadal Survey as a key component of the future climate observing system. This mission is part of SMD's Earth Systematic Missions program.,,,,,,,,,
Planetary,Clementine ,"19940125 January 25, 1994",Past,,,,,,,
,"The Clementine mission was designed to test lightweight miniature sensors and advanced spacecraft components by exposing them, over a long period of time, to the difficult environment of outer space. Clementine also completed the complex task of mapping the moon.",,,,,,,,,
Earth,CloudSat ,"20060428 April 28, 2006",Operating,,,,,,,
,"CloudSat uses advanced radar to ""slice"" through clouds to see their vertical structure, providing a completely new observational capability from space. CloudSat is one of the first satellites to study clouds on a global basis. This mission is part of ...",,,Tracy note: Weight = 1870 lbs. 2.23 m x 2.03 m with 5 m SA. ,,,,,,
Heliophysics,Cluster-II ,"20000716 July 16, 2000",Operating,,,,,,,
,"Cluster is a European Space Agency program with major NASA involvement. The 4 Cluster spacecraft are providing a detailed three-dimensional map of the magnetosphere, with surprising results. This mission is part of SMD's Heliophysics Research program.",,,Tracy note: orbit is 119000 km x 19000 km 90 deg incl,,,,,,
Astrophysics,COBE ,"19891118 November 18, 1989",Past,,,,,,,
,"The COBE satellite was developed to measure the diffuse infrared and microwave radiation from the early universe, to the limits set by our astrophysical environment.",,,,,,,,,
Planetary,CONTOUR ,"20020703 July 03, 2002",Past,,,,,,,
,The Comet Nucleus Tour (CONTOUR) was a mission intended to greatly expand what is known of comet nuclei and to assess their diversity. This mission is part of SMD's Discovery program.,,,,,,,,,
Earth,CRRES ,"19900725 July 25, 1990",Past,,,,,,,
,"The Combined Release and Radiation Effects Satellite (CRRES) was launched into a geosynchronous transfer orbit (GTO) for a nominal three-year mission to investigate fields, plasmas, and energetic particles inside the Earth's magnetosphere.",,,,,,,,,
Planetary,Dawn ,"20070927 September 27, 2007",Operating,,,,,,,
,"The Dawn mission intends to orbit Vesta and Ceres, two of the largest asteroids in the solar system. According to current theories, the very different properties of Vesta and Ceres are the result of the asteroids being formed and evolving ...",,,,Tracy note: Well beyond LEO!,,,,,
Planetary,Deep Impact ,"20050112 January 12, 2005",Past,,,,,,,
,"The Deep Impact mission was selected as a Discovery mission in 1999. The spacecraft was launched aboard a Delta II rocket on January 12, 2005 and left Earth’s orbit toward Comet Tempel 1. The spacecraft consists of two main sections, ...",,,,Tracy note: Well beyond LEO too!,,,,,
Planetary,Deep Space 1 ,"19981024 October 24, 1998",Past,,,,,,,
,"During its 11-month primary mission, DS1 successfully tested 12 revolutionary technologies destined for future missions. In 2001, DS-1 returned the best pictures and other scientific data ever collected at a comet.",,,,Tracy note: This one too.,,,,,
Earth,DESDynI ,"20160101 January 01, 2016",Under Study,,,,,,,
,"The Deformation, Ecosystem Structure and Dynamics of Ice mission combines two sensors that, taken together, provide observations important for solid-Earth (surface deformation), ecosystems (terrestrial biomass structure) and climate (ice dynamics). This mission is part of SMD's Earth Systematic Missions program.",,,,,,,,,
Earth,DISCOVER-AQ ,20110701 July 2011,Operating,,,,,,,
,"The overarching objective of the DISCOVER-AQ investigation is to improve the interpretation of satellite observations to diagnose near_surface conditions relating to air quality. To diagnose air quality conditions from space, reliable satellite information on aerosols and ozone precursors is needed ...",,,Tracy note: Airborne,,,,,,
Astrophysics,DXS ,"19930113 January 13, 1993",Past,,,,,,,
,The primary objective of the Diffuse X-ray Spectrometer (DXS) payload was to obtain measurements on the diffuse soft X-ray background radiation in the Milky Way Galaxy. DXS flew successfully in January 1993 as a shuttle cargo bay attached payload.,,,,,,,,,
Earth,Dynamics Explorer ,"19810803 August 03, 1981",Past,,,,,,,
,"The Dynamics Explorer Plasma Wave Investigator mission's general objective was to investigate the strong interactive processes coupling the hot, tenuous, convecting plasmas of the magnetosphere and the cooler, denser plasmas and gases corotating in the earth's ionosphere, upper atmosphere, and ...",,,,,,,,,
Earth,Earth Observing-1 (NMP) ,"20001121 November 21, 2000",Operating,,,,,,,
,The NMP EO-1 mission is an advanced land-imaging mission that will demonstrate new instruments and spacecraft systems. EO-1 will validate technologies contributing to the significant reduction in cost of follow-on Landsat missions. The future of Earth science measurements requires that ...,,,Tracy note: Weight = 1263 lbs,,,,,,
Planetary,Epoxi ,"20050112 January 12, 2005",Operating,,,,,,,
,Extrasolar Planet Observation and Deep Impact Extended Investigation EPOXI is a follow-on mission to Deep Impact. This mission is part of SMD's Discovery program.,,,,,,,,,
Heliophysics,Equator-S ,"19971202 December 02, 1997",Past,,,,,,,
,"Equator-S was a German Space Agency project, with contributions from ESA and NASA, related to the International Solar-Terrestrial Physics program. The mission provided high-resolution plasma, magnetic, and electric field measurements in several regions not adequately covered by any of the ...",,,,,,,,,
Earth,ERBS ,"19841005 October 05, 1984",Past,,,,,,,
,"Earth Radiation Budget Satellite (ERBS), expected to have a two-year operation life, provided scientific data about the Earth's ozone layer for more than two decades. ERBS observations have also been used to determine how human activities such as the use ...",,,,,,,,,
Earth,ERS ,"19910717 July 17, 1991",Past,,,,,,,
,"The European Remote Sensing Satellite (ERS-1) is the most sophisticated Earth observation satellite ever developed in Europe. It weighs well over two tons and, fully deployed, covers almost 12 metres.",,,,,,,,,
Earth,ESSA ,"19660203 February 03, 1966",Past,,,,,,,
,The Environmental Science Services Administration (ESSA) Satellite Program provided cloud-cover photography to the American National Meteorological Center from 1966 – 1972.,,,,,,,,,
Astrophysics,EUVE ,"19920607 June 07, 1992",Past,,,,,,,
,"The Extreme-Ultraviolet Explorer (EUVE) was a part of NASA's Explorer spacecraft series, and designed to operate in the extreme ultraviolet (EUV) range of the spectrum, from 70 - 760 Angstroms. The science payload consisted of three grazing incidence scanning telescopes ...",,,,,,,,,
Planetary,ExoMars Trace Gas Orbiter ,,Development,,,,,,,
,"The European Space Agency plans for the ExoMars rover to grind samples of Martian soil to fine powder and deliver them to a suite of analytical instruments, including Urey that will search for signs of life.",,,,,,,,,
Heliophysics,FAST ,"19960821 August 21, 1996",Past,,,,,,,
,"Fast Auroral Snapshot Explorer (FAST) studies the detailed plasma physics of the Earth's auroral regions. Ground support campaigns coordinate satellite measurements with ground observations of the Aurora Borealis, commonly referred to as the Northern Lights. The science instruments on board ...",,,,,,,,,
Astrophysics,Fermi ,"20080611 June 11, 2008",Operating,,,,,,,
,"Fermi, NASA's most recent gamma-ray observatory has a wide window on the universe. Gamma rays are the highest-energy form of light, and the gamma-ray sky is spectacularly different from the one we perceive with our own eyes. With a huge ...",,,Tracy note: Could not find on SpaceTrack,,,,,,
Astrophysics,FUSE ,"19990624 June 24, 1999",Past,,,,,,,
,"Far Ultraviolet Spectroscopic Explorer (FUSE) studied the far ultraviolet portion of the electromagnetic spectrum from high orbit. This range provided an opportunity to answer important questions about many types of astrophysical objects, such as the nuclear regions of active galaxies ...",,,,,,,,,
Astrophysics,GALEX ,"20030428 April 28, 2003",Operating,,,,,,,
,"Galaxy Evolution Explorer (GALEX) is exploring the origin and evolution of galaxies and the origins of stars and heavy elements, and is also conducting an all-sky ultraviolet survey. This mission is part of SMD's Astrophysics Explorers program. This mission is ...",,,Tracy note: Weight = 616 lbs. ,,,,,,
Planetary,Galileo ,"19891018 October 18, 1989",Past,,,,,,,
,"The Galileo mission produced a string of discoveries about asteroids, a fragmented comet, Jupiter's atmosphere, Jupiter's magnetic environment, and especially about the geologic diversity of Jupiter's four largest moons. This mission is part of SMD's Outer Planets Flagship program.",,,,,,,,,
Astrophysics,GEMS ,20140701 July 2014,Development,,,,,,,
,"GEMS will use an X-ray telescope to explore the shape of space that has been distorted by a spinning black hole's gravity, and probe the structure and effects of the formidable magnetic field around magnetars, dead stars with magnetic fields ...",,,,,,,,,
Planetary,Genesis ,"20010808 August 08, 2001",Past,,,,,,,
,The Genesis mission was designed to collect samples of the charged particles in the solar wind and return them to Earth laboratories for detailed analysis. This mission is part of SMD's Discovery program.,,,,,,,,,
Earth,Geosat ,"19850312 March 12, 1985",Past,,,,,,,
,"The U.S. Navy GEOdetic SATellite, GEOSAT, was launched on 12 March 1985, into an 800-km, 108-deg inclination orbit, carried an altimeter that was capable of measuring the distance from satellite to sea surface with a relative precision of about 5 ...",,,,,,,,,
Heliophysics,Geotail ,"19920724 July 24, 1992",Operating,,,,,,,
,The GEOTAIL mission is a collaborative project undertaken by the Japanese Institute of Space and Astronautical Science (ISAS) and NASA. Its primary objective is to study the tail of the Earth's magnetosphere. The information gathered is allowing scientists to model ...,,,Tracy note: 30Re x 9 Re -7 deg wrt ecliptic,,,,,,
Earth,GOES A - C ,"19751016 October 16, 1975",Past,,,,,,,
,"The launch of the prototype Synchronous Meteorological Satellite, SMS-A, in May 1974 inaugurated the series of geosynchronous satellites that has provided systematic, continuous observations of weather patterns. A second prototype, SMS-B, followed in February 1975. The GOES program formally began ...",,,,,,,,,
Earth,GOES D - H ,"19800909 September 09, 1980",Past,,,,,,,
,"GOES-4 advanced meteorologists’ capabilities by continuously profiling vertical temperature and water vapor. This major advancement permitted, for the first time, the monitoring of frame-to-frame movement of water vapor concentrations, a technique introduced by the European Meteosat-1 satellite. These missions are ...",,,,,,,,,
Earth,GOES I - M ,"19940413 April 13, 1994",Operating,,,,,,,
,The GOES I-M satellites are the primary element of U.S. weather monitoring and forecast operations and are a key component of NOAA's National Weather Service operations and modernization program. These missions are part of the GOES / POES program.,,,Tracy note: Geosync orbit,,,,,,
Earth,GOES N - P ,"20100304 March 04, 2010",Development,,,,,,,
,"GOES - N/O/P is the next series of GOES satellites. The multi-mission GOES series N - P will be a vital contributor to weather, solar, and space operations and science. These missions are part of the GOES / POES program.",,,,,,,,,
,GOES-R ,"20150101 January 01, 2015",Development,,,,,,,
